Subject	Gender	Hand Posture	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Image
105	male	Up	33	650	j	j	1	392	Middle Finger
105	male	Up	34	950	h	h	1	462	Index
105	male	Up	35	650	k	k	1	559	Ring Finger
105	male	Up	36	1100	b	b	1	395	Thumb
105	male	Up	37	650	k	k	1	571	Ring Finger
105	male	Up	38	1100	h	h	1	440	Index
105	male	Up	39	950	b	b	1	374	Thumb
105	male	Up	40	1100	l	l	1	435	Little Finger
105	male	Up	41	800	h	h	1	355	Index
105	male	Up	42	950	k	k	1	561	Ring Finger
105	male	Up	43	950	j	j	1	478	Middle Finger
105	male	Up	44	650	b	b	1	470	Thumb
105	male	Up	45	1100	k	k	1	520	Ring Finger
105	male	Up	46	800	b	b	1	429	Thumb
105	male	Up	47	800	k	k	1	525	Ring Finger
105	male	Up	48	500	h	h	1	458	Index
105	male	Up	49	950	j	j	1	461	Middle Finger
105	male	Up	50	650	b	b	1	394	Thumb
106	male	Down	1	950	k	k	1	374	Ring Finger
106	male	Down	2	800	h	h	1	256	Index
106	male	Down	3	500	k	k	1	361	Ring Finger
106	male	Down	4	1100	l	l	1	434	Little Finger
106	male	Down	5	950	b	b	1	329	Thumb
106	male	Down	6	500	h	j	0	446	Index
106	male	Down	7	650	b	b	1	537	Thumb
106	male	Down	8	1100	h	h	1	433	Index
106	male	Down	9	1100	j	j	1	532	Middle Finger
106	male	Down	10	500	b	b	1	457	Thumb
106	male	Down	11	800	l	l	1	291	Little Finger
106	male	Down	12	650	k	k	1	405	Ring Finger
106	male	Down	13	950	l	l	1	393	Little Finger
106	male	Down	14	1100	b	b	1	365	Thumb
106	male	Down	15	650	k	k	1	424	Ring Finger
106	male	Down	16	950	h	h	1	387	Index
106	male	Down	17	650	j	j	1	395	Middle Finger
106	male	Down	18	650	l	l	1	371	Little Finger
106	male	Down	19	650	j	j	1	517	Middle Finger
106	male	Down	20	800	h	h	1	443	Index
106	male	Down	21	650	l	l	1	393	Little Finger
106	male	Down	22	500	j	j	1	469	Middle Finger
106	male	Down	23	950	h	h	1	283	Index
106	male	Down	24	1100	l	l	1	312	Little Finger
106	male	Down	25	800	j	j	1	392	Middle Finger
106	male	Down	26	1100	b	b	1	411	Thumb
106	male	Down	27	800	k	k	1	395	Ring Finger
